########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.0001                          # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 1.64408E-05             # Initial mass fractions         #
# X( 14N  ) = 5.32365E-06                                              #
# X( 16O  ) = 4.41094E-05                                              #
# X( 20Ne ) = 7.77433E-06                                              #
# X( 24Mg ) = 3.79406E-06                                              #
# X( 28Si ) = 5.04953E-06                                              #
# X( 32S  ) = 2.65556E-06                                              #
# X( 40Ca ) = 4.78345E-07                                              #
# X( 48Ti ) = 1.65934E-08                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.499900   0.000100       0.501       1.0       1.0       1.0
 2   0.5   0.499887   0.000113       0.898       1.8       1.0       1.0
 3   0.5   0.499884   0.000116       0.997       2.0       1.0       1.0
 4   0.5   0.499880   0.000120       1.096       2.2       1.0       1.0
 5   0.5   0.499621   0.000379       8.927      18.0       1.0       1.0
 6   0.5   0.497450   0.002550      74.351     150.0       1.0       1.0
 7   0.5   0.475255   0.024745     743.458    1500.0       1.0       1.0
 8   0.7   0.299900   0.000100       0.501       1.0       1.0       1.0
 9   0.7   0.299887   0.000113       0.898       1.8       1.0       1.0
10   0.7   0.299884   0.000116       0.997       2.0       1.0       1.0
11   0.7   0.299880   0.000120       1.096       2.2       1.0       1.0
12   0.7   0.299621   0.000379       8.927      18.0       1.0       1.0
13   0.7   0.297450   0.002550      74.351     150.0       1.0       1.0
14   0.7   0.275255   0.024745     743.458    1500.0       1.0       1.0
15   0.8   0.199900   0.000100       0.501       1.0       1.0       1.0
16   0.8   0.199887   0.000113       0.898       1.8       1.0       1.0
17   0.8   0.199884   0.000116       0.997       2.0       1.0       1.0
18   0.8   0.199880   0.000120       1.096       2.2       1.0       1.0
19   0.8   0.199621   0.000379       8.927      18.0       1.0       1.0
20   0.8   0.197450   0.002550      74.351     150.0       1.0       1.0
21   0.8   0.175255   0.024745     743.458    1500.0       1.0       1.0
22   0.5   0.499841   0.000159       0.501       1.0      12.0       1.0
23   0.5   0.499828   0.000172       0.898       1.8      12.0       1.0
24   0.5   0.499825   0.000175       0.997       2.0      12.0       1.0
25   0.5   0.499822   0.000178       1.096       2.2      12.0       1.0
26   0.5   0.499562   0.000438       8.927      18.0      12.0       1.0
27   0.5   0.497392   0.002608      74.351     150.0      12.0       1.0
28   0.5   0.475197   0.024803     743.458    1500.0      12.0       1.0
29   0.7   0.299841   0.000159       0.501       1.0      12.0       1.0
30   0.7   0.299828   0.000172       0.898       1.8      12.0       1.0
31   0.7   0.299825   0.000175       0.997       2.0      12.0       1.0
32   0.7   0.299822   0.000178       1.096       2.2      12.0       1.0
33   0.7   0.299562   0.000438       8.927      18.0      12.0       1.0
34   0.7   0.297392   0.002608      74.351     150.0      12.0       1.0
35   0.7   0.275197   0.024803     743.458    1500.0      12.0       1.0
36   0.8   0.199841   0.000159       0.501       1.0      12.0       1.0
37   0.8   0.199828   0.000172       0.898       1.8      12.0       1.0
38   0.8   0.199825   0.000175       0.997       2.0      12.0       1.0
39   0.8   0.199822   0.000178       1.096       2.2      12.0       1.0
40   0.8   0.199562   0.000438       8.927      18.0      12.0       1.0
41   0.8   0.197392   0.002608      74.351     150.0      12.0       1.0
42   0.8   0.175197   0.024803     743.458    1500.0      12.0       1.0
43   0.5   0.499107   0.000893       0.501       1.0     150.0       1.0
44   0.5   0.499094   0.000906       0.898       1.8     150.0       1.0
45   0.5   0.499090   0.000910       0.997       2.0     150.0       1.0
46   0.5   0.499087   0.000913       1.096       2.2     150.0       1.0
47   0.5   0.498827   0.001173       8.927      18.0     150.0       1.0
48   0.5   0.496657   0.003343      74.351     150.0     150.0       1.0
49   0.5   0.474462   0.025538     743.458    1500.0     150.0       1.0
50   0.7   0.299107   0.000893       0.501       1.0     150.0       1.0
51   0.7   0.299094   0.000906       0.898       1.8     150.0       1.0
52   0.7   0.299090   0.000910       0.997       2.0     150.0       1.0
53   0.7   0.299087   0.000913       1.096       2.2     150.0       1.0
54   0.7   0.298827   0.001173       8.927      18.0     150.0       1.0
55   0.7   0.296657   0.003343      74.351     150.0     150.0       1.0
56   0.7   0.274462   0.025538     743.458    1500.0     150.0       1.0
57   0.8   0.199107   0.000893       0.501       1.0     150.0       1.0
58   0.8   0.199094   0.000906       0.898       1.8     150.0       1.0
59   0.8   0.199090   0.000910       0.997       2.0     150.0       1.0
60   0.8   0.199087   0.000913       1.096       2.2     150.0       1.0
61   0.8   0.198827   0.001173       8.927      18.0     150.0       1.0
62   0.8   0.196657   0.003343      74.351     150.0     150.0       1.0
63   0.8   0.174462   0.025538     743.458    1500.0     150.0       1.0
########################################################################










##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.499900   0.000100       0.501       1.0       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
