########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.04                            # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 6.57633E-03             # Initial mass fractions         #
# X( 14N  ) = 2.12946E-03                                              #
# X( 16O  ) = 1.76437E-02                                              #
# X( 20Ne ) = 3.10973E-03                                              #
# X( 24Mg ) = 1.51762E-03                                              #
# X( 28Si ) = 2.01981E-03                                              #
# X( 32S  ) = 1.06223E-03                                              #
# X( 40Ca ) = 1.91338E-04                                              #
# X( 48Ti ) = 6.63736E-06                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.460000   0.040000       0.501       1.0       1.0       1.0
 2   0.5   0.458685   0.041315       0.600       1.2       1.0       1.0
 3   0.5   0.456712   0.043288       0.749       1.5       1.0       1.0
 4   0.5   0.454739   0.045261       0.898       1.8       1.0       1.0
 5   0.5   0.453424   0.046576       0.997       2.0       1.0       1.0
 6   0.5   0.452108   0.047892       1.096       2.2       1.0       1.0
 7   0.5   0.446847   0.053153       1.492       3.0       1.0       1.0
 8   0.7   0.260000   0.040000       0.501       1.0       1.0       1.0
 9   0.7   0.258685   0.041315       0.600       1.2       1.0       1.0
10   0.7   0.256712   0.043288       0.749       1.5       1.0       1.0
11   0.7   0.254739   0.045261       0.898       1.8       1.0       1.0
12   0.7   0.253424   0.046576       0.997       2.0       1.0       1.0
13   0.7   0.252108   0.047892       1.096       2.2       1.0       1.0
14   0.7   0.246847   0.053153       1.492       3.0       1.0       1.0
15   0.8   0.160000   0.040000       0.501       1.0       1.0       1.0
16   0.8   0.158685   0.041315       0.600       1.2       1.0       1.0
17   0.8   0.156712   0.043288       0.749       1.5       1.0       1.0
18   0.8   0.154739   0.045261       0.898       1.8       1.0       1.0
19   0.8   0.153424   0.046576       0.997       2.0       1.0       1.0
20   0.8   0.152108   0.047892       1.096       2.2       1.0       1.0
21   0.8   0.146847   0.053153       1.492       3.0       1.0       1.0
22   0.5   0.459574   0.040426       0.501       1.0       1.2       1.0
23   0.5   0.458259   0.041741       0.600       1.2       1.2       1.0
24   0.5   0.456286   0.043714       0.749       1.5       1.2       1.0
25   0.5   0.454313   0.045687       0.898       1.8       1.2       1.0
26   0.5   0.452998   0.047002       0.997       2.0       1.2       1.0
27   0.5   0.451683   0.048317       1.096       2.2       1.2       1.0
28   0.5   0.446421   0.053579       1.492       3.0       1.2       1.0
29   0.7   0.259574   0.040426       0.501       1.0       1.2       1.0
30   0.7   0.258259   0.041741       0.600       1.2       1.2       1.0
31   0.7   0.256286   0.043714       0.749       1.5       1.2       1.0
32   0.7   0.254313   0.045687       0.898       1.8       1.2       1.0
33   0.7   0.252998   0.047002       0.997       2.0       1.2       1.0
34   0.7   0.251683   0.048317       1.096       2.2       1.2       1.0
35   0.7   0.246421   0.053579       1.492       3.0       1.2       1.0
36   0.8   0.159574   0.040426       0.501       1.0       1.2       1.0
