########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.002                           # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 3.28816E-04             # Initial mass fractions         #
# X( 14N  ) = 1.06473E-04                                              #
# X( 16O  ) = 8.82187E-04                                              #
# X( 20Ne ) = 1.55487E-04                                              #
# X( 24Mg ) = 7.58811E-05                                              #
# X( 28Si ) = 1.00991E-04                                              #
# X( 32S  ) = 5.31113E-05                                              #
# X( 40Ca ) = 9.56690E-06                                              #
# X( 48Ti ) = 3.31868E-07                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.498000   0.002000       0.501       1.0       1.0       1.0
 2   0.5   0.497737   0.002263       0.898       1.8       1.0       1.0
 3   0.5   0.497671   0.002329       0.997       2.0       1.0       1.0
 4   0.5   0.497605   0.002395       1.096       2.2       1.0       1.0
 5   0.5   0.496356   0.003644       2.979       6.0       1.0       1.0
 6   0.5   0.491752   0.008248       9.918      20.0       1.0       1.0
 7   0.5   0.475312   0.024688      34.700      70.0       1.0       1.0
 8   0.7   0.298000   0.002000       0.501       1.0       1.0       1.0
 9   0.7   0.297737   0.002263       0.898       1.8       1.0       1.0
10   0.7   0.297671   0.002329       0.997       2.0       1.0       1.0
11   0.7   0.297605   0.002395       1.096       2.2       1.0       1.0
12   0.7   0.296356   0.003644       2.979       6.0       1.0       1.0
13   0.7   0.291752   0.008248       9.918      20.0       1.0       1.0
14   0.7   0.275312   0.024688      34.700      70.0       1.0       1.0
15   0.8   0.198000   0.002000       0.501       1.0       1.0       1.0
16   0.8   0.197737   0.002263       0.898       1.8       1.0       1.0
17   0.8   0.197671   0.002329       0.997       2.0       1.0       1.0
18   0.8   0.197605   0.002395       1.096       2.2       1.0       1.0
19   0.8   0.196356   0.003644       2.979       6.0       1.0       1.0
20   0.8   0.191752   0.008248       9.918      20.0       1.0       1.0
21   0.8   0.175312   0.024688      34.700      70.0       1.0       1.0
22   0.5   0.497787   0.002213       0.501       1.0       3.0       1.0
23   0.5   0.497524   0.002476       0.898       1.8       3.0       1.0
24   0.5   0.497458   0.002542       0.997       2.0       3.0       1.0
25   0.5   0.497392   0.002608       1.096       2.2       3.0       1.0
26   0.5   0.496143   0.003857       2.979       6.0       3.0       1.0
27   0.5   0.491540   0.008460       9.918      20.0       3.0       1.0
28   0.5   0.475099   0.024901      34.700      70.0       3.0       1.0
29   0.7   0.297787   0.002213       0.501       1.0       3.0       1.0
30   0.7   0.297524   0.002476       0.898       1.8       3.0       1.0
31   0.7   0.297458   0.002542       0.997       2.0       3.0       1.0
32   0.7   0.297392   0.002608       1.096       2.2       3.0       1.0
33   0.7   0.296143   0.003857       2.979       6.0       3.0       1.0
34   0.7   0.291540   0.008460       9.918      20.0       3.0       1.0
35   0.7   0.275099   0.024901      34.700      70.0       3.0       1.0
36   0.8   0.197787   0.002213       0.501       1.0       3.0       1.0
37   0.8   0.197524   0.002476       0.898       1.8       3.0       1.0
38   0.8   0.197458   0.002542       0.997       2.0       3.0       1.0
39   0.8   0.197392   0.002608       1.096       2.2       3.0       1.0
40   0.8   0.196143   0.003857       2.979       6.0       3.0       1.0
41   0.8   0.191540   0.008460       9.918      20.0       3.0       1.0
42   0.8   0.175099   0.024901      34.700      70.0       3.0       1.0
43   0.5   0.497255   0.002745       0.501       1.0       8.0       1.0
44   0.5   0.496992   0.003008       0.898       1.8       8.0       1.0
45   0.5   0.496926   0.003074       0.997       2.0       8.0       1.0
46   0.5   0.496860   0.003140       1.096       2.2       8.0       1.0
47   0.5   0.495611   0.004389       2.979       6.0       8.0       1.0
48   0.5   0.491007   0.008993       9.918      20.0       8.0       1.0
49   0.5   0.474566   0.025434      34.700      70.0       8.0       1.0
50   0.7   0.297255   0.002745       0.501       1.0       8.0       1.0
51   0.7   0.296992   0.003008       0.898       1.8       8.0       1.0
52   0.7   0.296926   0.003074       0.997       2.0       8.0       1.0
53   0.7   0.296860   0.003140       1.096       2.2       8.0       1.0
54   0.7   0.295611   0.004389       2.979       6.0       8.0       1.0
55   0.7   0.291007   0.008993       9.918      20.0       8.0       1.0
56   0.7   0.274566   0.025434      34.700      70.0       8.0       1.0
57   0.8   0.197255   0.002745       0.501       1.0       8.0       1.0
58   0.8   0.196992   0.003008       0.898       1.8       8.0       1.0
59   0.8   0.196926   0.003074       0.997       2.0       8.0       1.0
60   0.8   0.196860   0.003140       1.096       2.2       8.0       1.0
61   0.8   0.195611   0.004389       2.979       6.0       8.0       1.0
62   0.8   0.191007   0.008993       9.918      20.0       8.0       1.0
63   0.8   0.174566   0.025434      34.700      70.0       8.0       1.0
########################################################################










##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.498000   0.002000       0.501       1.0       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
3.200 -4.987 -4.342 -3.722 -3.358 -3.229 -3.192 -3.179 -3.173 -3.170 -3.168 -3.165 -3.163 -3.160 -3.157 -3.154 -3.151 -3.148
3.250 -5.689 -5.576 -5.294 -4.789 -4.137 -3.542 -3.182 -3.043 -2.998 -2.982 -2.973 -2.968 -2.963 -2.959 -2.954 -2.948 -2.942
3.300 -5.581 -5.604 -5.598 -5.540 -5.362 -4.977 -4.383 -3.742 -3.242 -2.973 -2.870 -2.833 -2.815 -2.804 -2.795 -2.786 -2.775
3.350 -5.225 -5.301 -5.374 -5.432 -5.462 -5.440 -5.310 -4.989 -4.444 -3.806 -3.261 -2.919 -2.766 -2.702 -2.669 -2.646 -2.626
3.400 -4.945 -4.981 -5.029 -5.088 -5.155 -5.222 -5.270 -5.268 -5.146 -4.826 -4.287 -3.664 -3.134 -2.787 -2.609 -2.514 -2.454
3.450 -4.859 -4.846 -4.838 -4.843 -4.863 -4.895 -4.931 -4.960 -4.959 -4.892 -4.704 -4.332 -3.796 -3.222 -2.757 -2.454 -2.277
3.500 -4.768 -4.793 -4.796 -4.783 -4.760 -4.732 -4.700 -4.659 -4.587 -4.466 -4.292 -4.068 -3.789 -3.437 -3.004 -2.555 -2.193
3.550 -4.224 -4.375 -4.503 -4.602 -4.661 -4.678 -4.648 -4.565 -4.410 -4.181 -3.897 -3.586 -3.274 -2.969 -2.667 -2.357 -2.033
3.600 -3.427 -3.628 -3.818 -3.993 -4.150 -4.280 -4.368 -4.384 -4.290 -4.064 -3.727 -3.335 -2.936 -2.555 -2.200 -1.871 -1.568
3.650 -2.607 -2.834 -3.052 -3.260 -3.452 -3.620 -3.743 -3.795 -3.751 -3.608 -3.381 -3.084 -2.723 -2.320 -1.910 -1.517 -1.155
3.700 -1.846 -2.078 -2.306 -2.528 -2.737 -2.921 -3.055 -3.103 -3.046 -2.903 -2.706 -2.475 -2.219 -1.933 -1.610 -1.250 -0.869
3.750 -1.201 -1.406 -1.620 -1.833 -2.038 -2.218 -2.347 -2.390 -2.331 -2.190 -2.000 -1.785 -1.555 -1.313 -1.056 -0.781 -0.482
3.800 -0.790 -0.897 -1.040 -1.203 -1.367 -1.512 -1.614 -1.645 -1.595 -1.473 -1.304 -1.110 -0.900 -0.680 -0.448 -0.204  0.055
3.850 -0.672 -0.670 -0.680 -0.715 -0.773 -0.834 -0.874 -0.877 -0.830 -0.736 -0.603 -0.443 -0.263 -0.068  0.140  0.361  0.597
